,id,fecha,hora,valor,estacion_id,estacion_nombre
0,105PP16010101,2016-01-01,1,0.0,105,Loma Dorada
1,105PP16010102,2016-01-01,2,0.0,105,Loma Dorada
2,105PP16010103,2016-01-01,3,0.0,105,Loma Dorada
3,105PP16010104,2016-01-01,4,0.0,105,Loma Dorada
4,105PP16010105,2016-01-01,5,0.0,105,Loma Dorada
5,105PP16010106,2016-01-01,6,0.0,105,Loma Dorada
6,105PP16010107,2016-01-01,7,0.0,105,Loma Dorada
7,105PP16010108,2016-01-01,8,0.0,105,Loma Dorada
8,105PP16010109,2016-01-01,9,0.0,105,Loma Dorada
9,105PP16010110,2016-01-01,10,0.0,105,Loma Dorada
10,105PP16010111,2016-01-01,11,0.0,105,Loma Dorada
11,105PP16010112,2016-01-01,12,0.0,105,Loma Dorada
12,105PP16010113,2016-01-01,13,0.0,105,Loma Dorada
13,105PP16010114,2016-01-01,14,0.0,105,Loma Dorada
14,105PP16010115,2016-01-01,15,0.0,105,Loma Dorada
15,105PP16010116,2016-01-01,16,0.0,105,Loma Dorada
16,105PP16010117,2016-01-01,17,0.0,105,Loma Dorada
17,105PP16010118,2016-01-01,18,0.0,105,Loma Dorada
18,105PP16010119,2016-01-01,19,0.0,105,Loma Dorada
19,105PP16010120,2016-01-01,20,0.0,105,Loma Dorada
20,105PP16010121,2016-01-01,21,0.0,105,Loma Dorada
21,105PP16010122,2016-01-01,22,0.0,105,Loma Dorada
22,105PP16010123,2016-01-01,23,0.0,105,Loma Dorada
23,105PP16010200,2016-01-02,0,0.0,105,Loma Dorada
24,105PP16010201,2016-01-02,1,0.0,105,Loma Dorada
25,105PP16010202,2016-01-02,2,0.0,105,Loma Dorada
26,105PP16010203,2016-01-02,3,0.0,105,Loma Dorada
27,105PP16010204,2016-01-02,4,0.0,105,Loma Dorada
28,105PP16010205,2016-01-02,5,0.0,105,Loma Dorada
29,105PP16010206,2016-01-02,6,0.0,105,Loma Dorada
30,105PP16010207,2016-01-02,7,0.0,105,Loma Dorada
31,105PP16010208,2016-01-02,8,0.0,105,Loma Dorada
32,105PP16010209,2016-01-02,9,0.0,105,Loma Dorada
33,105PP16010210,2016-01-02,10,0.0,105,Loma Dorada
34,105PP16010211,2016-01-02,11,0.0,105,Loma Dorada
35,105PP16010212,2016-01-02,12,0.0,105,Loma Dorada
36,105PP16010213,2016-01-02,13,0.0,105,Loma Dorada
37,105PP16010214,2016-01-02,14,0.0,105,Loma Dorada
38,105PP16010215,2016-01-02,15,0.0,105,Loma Dorada
39,105PP16010216,2016-01-02,16,0.0,105,Loma Dorada
40,105PP16010217,2016-01-02,17,0.0,105,Loma Dorada
41,105PP16010218,2016-01-02,18,0.0,105,Loma Dorada
42,105PP16010219,2016-01-02,19,0.0,105,Loma Dorada
