,id,fecha,hora,valor,estacion_id,estacion_nombre
0,107PP15010101,2015-01-01,1,9.1,107,Oblatos
1,107PP15010102,2015-01-01,2,20.9,107,Oblatos
2,107PP15010103,2015-01-01,3,10.5,107,Oblatos
3,107PP15010104,2015-01-01,4,7.2,107,Oblatos
4,107PP15010105,2015-01-01,5,10.9,107,Oblatos
5,107PP15010106,2015-01-01,6,8.1,107,Oblatos
6,107PP15010107,2015-01-01,7,6.9,107,Oblatos
7,107PP15010108,2015-01-01,8,15.0,107,Oblatos
8,107PP15010109,2015-01-01,9,5.1,107,Oblatos
9,107PP15010110,2015-01-01,10,18.9,107,Oblatos
10,107PP15010111,2015-01-01,11,4.8,107,Oblatos
11,107PP15010112,2015-01-01,12,20.3,107,Oblatos
12,107PP15010113,2015-01-01,13,3.5,107,Oblatos
13,107PP15010114,2015-01-01,14,13.8,107,Oblatos
14,107PP15010115,2015-01-01,15,3.9,107,Oblatos
15,107PP15010116,2015-01-01,16,6.1,107,Oblatos
16,107PP15010117,2015-01-01,17,13.4,107,Oblatos
17,107PP15010118,2015-01-01,18,15.8,107,Oblatos
18,107PP15010119,2015-01-01,19,10.2,107,Oblatos
19,107PP15010120,2015-01-01,20,19.9,107,Oblatos
20,107PP15010121,2015-01-01,21,18.7,107,Oblatos
21,107PP15010122,2015-01-01,22,7.4,107,Oblatos
22,107PP15010123,2015-01-01,23,5.0,107,Oblatos
23,107PP15010200,2015-01-02,0,8.8,107,Oblatos
24,107PP15010201,2015-01-02,1,4.7,107,Oblatos
25,107PP15010202,2015-01-02,2,11.3,107,Oblatos
26,107PP15010203,2015-01-02,3,13.0,107,Oblatos
27,107PP15010204,2015-01-02,4,1.7,107,Oblatos
28,107PP15010205,2015-01-02,5,9.1,107,Oblatos
29,107PP15010206,2015-01-02,6,14.0,107,Oblatos
30,107PP15010207,2015-01-02,7,12.7,107,Oblatos
31,107PP15010208,2015-01-02,8,19.6,107,Oblatos
32,107PP15010209,2015-01-02,9,9.1,107,Oblatos
33,107PP15010210,2015-01-02,10,3.5,107,Oblatos
34,107PP15010211,2015-01-02,11,7.0,107,Oblatos
35,107PP15010212,2015-01-02,12,26.7,107,Oblatos
36,107PP15010213,2015-01-02,13,20.3,107,Oblatos
37,107PP15010214,2015-01-02,14,6.9,107,Oblatos
38,107PP15010215,2015-01-02,15,13.6,107,Oblatos
39,107PP15010216,2015-01-02,16,7.3,107,Oblatos
40,107PP15010217,2015-01-02,17,9.2,107,Oblatos
41,107PP15010218,2015-01-02,18,18.1,107,Oblatos
42,107PP15010219,2015-01-02,19,25.2,107,Oblatos
43,107PP15010220,2015-01-02,20,19.6,107,Oblatos
44,107PP15010221,2015-01-02,21,8.6,107,Oblatos
45,107PP15010222,2015-01-02,22,15.2,107,Oblatos
46,107PP15010223,2015-01-02,23,3.6,107,Oblatos
47,107PP15010300,2015-01-03,0,3.7,107,Oblatos
48,107PP15010301,2015-01-03,1,12.6,107,Oblatos
49,107PP15010302,2015-01-03,2,14.1,107,Oblatos
50,107PP15010303,2015-01-03,3,11.2,107,Oblatos
51,107PP15010304,2015-01-03,4,16.7,107,Oblatos
52,107PP15010305,2015-01-03,5,7.7,107,Oblatos
53,107PP15010306,2015-01-03,6,9.9,107,Oblatos
54,107PP15010307,2015-01-03,7,8.0,107,Oblatos
55,107PP15010308,2015-01-03,8,8.8,107,Oblatos
56,107PP15010309,2015-01-03,9,5.4,107,Oblatos
57,107PP15010310,2015-01-03,10,2.6,107,Oblatos
58,107PP15010311,2015-01-03,11,4.2,107,Oblatos
59,107PP15010312,2015-01-03,12,5.7,107,Oblatos
60,107PP15010313,2015-01-03,13,10.8,107,Oblatos
61,107PP15010314,2015-01-03,14,6.1,107,Oblatos
62,107PP15010315,2015-01-03,15,6.8,107,Oblatos
63,107PP15010316,2015-01-03,16,29.8,107,Oblatos
64,107PP15010317,2015-01-03,17,21.9,107,Oblatos
65,107PP15010318,2015-01-03,18,18.5,107,Oblatos
66,107PP15010319,2015-01-03,19,10.4,107,Oblatos
67,107PP15010320,2015-01-03,20,13.4,107,Oblatos
68,107PP15010321,2015-01-03,21,7.3,107,Oblatos
