,id,fecha,hora,valor,estacion_id,estacion_nombre
0,108PP13010717,2013-01-07,17,0.0,108,Santa Fe
1,108PP13010718,2013-01-07,18,0.0,108,Santa Fe
2,108PP13010810,2013-01-08,10,0.0,108,Santa Fe
3,108PP13010811,2013-01-08,11,0.0,108,Santa Fe
4,108PP13010812,2013-01-08,12,0.0,108,Santa Fe
5,108PP13010813,2013-01-08,13,0.0,108,Santa Fe
6,108PP13010814,2013-01-08,14,0.0,108,Santa Fe
7,108PP13010815,2013-01-08,15,0.0,108,Santa Fe
8,108PP13010816,2013-01-08,16,0.0,108,Santa Fe
9,108PP13010817,2013-01-08,17,0.0,108,Santa Fe
10,108PP13010818,2013-01-08,18,0.0,108,Santa Fe
11,108PP13010910,2013-01-09,10,0.0,108,Santa Fe
12,108PP13010911,2013-01-09,11,0.0013966,108,Santa Fe
13,108PP13010912,2013-01-09,12,0.0,108,Santa Fe
14,108PP13010913,2013-01-09,13,0.0,108,Santa Fe
15,108PP13010914,2013-01-09,14,0.0,108,Santa Fe
16,108PP13010915,2013-01-09,15,0.0,108,Santa Fe
17,108PP13010916,2013-01-09,16,0.0,108,Santa Fe
18,108PP13010917,2013-01-09,17,0.0,108,Santa Fe
19,108PP13010918,2013-01-09,18,0.0,108,Santa Fe
20,108PP13010919,2013-01-09,19,0.0,108,Santa Fe
21,108PP13010920,2013-01-09,20,0.0,108,Santa Fe
22,108PP13010921,2013-01-09,21,0.0,108,Santa Fe
23,108PP13010922,2013-01-09,22,0.0,108,Santa Fe
24,108PP13010923,2013-01-09,23,0.0,108,Santa Fe
25,108PP13011000,2013-01-10,0,0.0,108,Santa Fe
26,108PP13011001,2013-01-10,1,0.0,108,Santa Fe
27,108PP13011002,2013-01-10,2,0.0,108,Santa Fe
28,108PP13011003,2013-01-10,3,0.0,108,Santa Fe
29,108PP13011004,2013-01-10,4,0.0,108,Santa Fe
30,108PP13011005,2013-01-10,5,0.0,108,Santa Fe
31,108PP13011006,2013-01-10,6,0.0,108,Santa Fe
32,108PP13011007,2013-01-10,7,0.0,108,Santa Fe
33,108PP13011008,2013-01-10,8,0.0,108,Santa Fe
34,108PP13011009,2013-01-10,9,0.0,108,Santa Fe
35,108PP13011010,2013-01-10,10,0.0,108,Santa Fe
36,108PP13011011,2013-01-10,11,0.0,108,Santa Fe
37,108PP13011012,2013-01-10,12,0.0,108,Santa Fe
38,108PP13011013,2013-01-10,13,0.00013928,108,Santa Fe
39,108PP13011014,2013-01-10,14,0.0,108,Santa Fe
40,108PP13011015,2013-01-10,15,0.0,108,Santa Fe
41,108PP13011016,2013-01-10,16,0.0,108,Santa Fe
42,108PP13011017,2013-01-10,17,0.00027933,108,Santa Fe
43,108PP13011018,2013-01-10,18,0.0,108,Santa Fe
44,108PP13011019,2013-01-10,19,0.0,108,Santa Fe
45,108PP13011020,2013-01-10,20,0.0,108,Santa Fe
46,108PP13011021,2013-01-10,21,0.0,108,Santa Fe
47,108PP13011022,2013-01-10,22,0.0,108,Santa Fe
48,108PP13011023,2013-01-10,23,0.0,108,Santa Fe
49,108PP13011100,2013-01-11,0,0.0,108,Santa Fe
50,108PP13011101,2013-01-11,1,0.0,108,Santa Fe
51,108PP13011102,2013-01-11,2,0.0,108,Santa Fe
52,108PP13011103,2013-01-11,3,0.0,108,Santa Fe
53,108PP13011104,2013-01-11,4,0.0,108,Santa Fe
54,108PP13011105,2013-01-11,5,0.0,108,Santa Fe
55,108PP13011106,2013-01-11,6,0.0,108,Santa Fe
56,108PP13011107,2013-01-11,7,0.0,108,Santa Fe
57,108PP13011108,2013-01-11,8,0.0,108,Santa Fe
58,108PP13011109,2013-01-11,9,0.0,108,Santa Fe
