,id,fecha,hora,valor,estacion_id,estacion_nombre
0,110PP18061211,2018-06-12,11,17.4,110,Vallarta
1,110PP18061212,2018-06-12,12,0.0,110,Vallarta
2,110PP18061213,2018-06-12,13,0.0,110,Vallarta
3,110PP18061214,2018-06-12,14,0.0,110,Vallarta
4,110PP18061215,2018-06-12,15,0.0,110,Vallarta
5,110PP18061216,2018-06-12,16,0.0,110,Vallarta
6,110PP18061217,2018-06-12,17,0.0,110,Vallarta
7,110PP18061218,2018-06-12,18,0.0,110,Vallarta
8,110PP18061219,2018-06-12,19,0.0,110,Vallarta
9,110PP18061220,2018-06-12,20,0.0,110,Vallarta
10,110PP18061221,2018-06-12,21,0.0,110,Vallarta
11,110PP18061222,2018-06-12,22,0.0,110,Vallarta
12,110PP18061223,2018-06-12,23,0.0,110,Vallarta
13,110PP18061300,2018-06-13,0,0.0,110,Vallarta
14,110PP18061301,2018-06-13,1,0.0,110,Vallarta
15,110PP18061302,2018-06-13,2,0.1,110,Vallarta
16,110PP18061303,2018-06-13,3,0.0,110,Vallarta
17,110PP18061304,2018-06-13,4,0.2,110,Vallarta
18,110PP18061305,2018-06-13,5,0.0,110,Vallarta
19,110PP18061306,2018-06-13,6,0.0,110,Vallarta
20,110PP18061307,2018-06-13,7,0.0,110,Vallarta
21,110PP18061308,2018-06-13,8,0.0,110,Vallarta
22,110PP18061309,2018-06-13,9,0.0,110,Vallarta
23,110PP18061310,2018-06-13,10,0.0,110,Vallarta
24,110PP18061311,2018-06-13,11,0.0,110,Vallarta
25,110PP18061312,2018-06-13,12,0.0,110,Vallarta
26,110PP18061313,2018-06-13,13,0.0,110,Vallarta
27,110PP18061314,2018-06-13,14,0.0,110,Vallarta
28,110PP18061315,2018-06-13,15,0.0,110,Vallarta
29,110PP18061316,2018-06-13,16,0.0,110,Vallarta
30,110PP18061317,2018-06-13,17,0.0,110,Vallarta
31,110PP18061318,2018-06-13,18,0.4,110,Vallarta
32,110PP18061319,2018-06-13,19,0.0,110,Vallarta
33,110PP18061320,2018-06-13,20,0.0,110,Vallarta
34,110PP18061321,2018-06-13,21,0.0,110,Vallarta
35,110PP18061322,2018-06-13,22,0.0,110,Vallarta
36,110PP18061323,2018-06-13,23,0.0,110,Vallarta
37,110PP18061400,2018-06-14,0,0.0,110,Vallarta
38,110PP18061401,2018-06-14,1,0.0,110,Vallarta
39,110PP18061402,2018-06-14,2,0.0,110,Vallarta
40,110PP18061403,2018-06-14,3,0.0,110,Vallarta
41,110PP18061404,2018-06-14,4,0.0,110,Vallarta
42,110PP18061405,2018-06-14,5,0.0,110,Vallarta
43,110PP18061406,2018-06-14,6,0.0,110,Vallarta
44,110PP18061407,2018-06-14,7,0.0,110,Vallarta
45,110PP18061408,2018-06-14,8,0.0,110,Vallarta
46,110PP18061409,2018-06-14,9,0.0,110,Vallarta
47,110PP18061410,2018-06-14,10,0.0,110,Vallarta
48,110PP18061411,2018-06-14,11,0.0,110,Vallarta
49,110PP18061412,2018-06-14,12,0.0,110,Vallarta
50,110PP18061413,2018-06-14,13,0.0,110,Vallarta
51,110PP18061414,2018-06-14,14,0.0,110,Vallarta
52,110PP18061415,2018-06-14,15,0.0,110,Vallarta
53,110PP18061416,2018-06-14,16,0.0,110,Vallarta
54,110PP18061417,2018-06-14,17,0.0,110,Vallarta
55,110PP18061418,2018-06-14,18,0.0,110,Vallarta
56,110PP18061419,2018-06-14,19,0.0,110,Vallarta
57,110PP18061420,2018-06-14,20,0.0,110,Vallarta
58,110PP18061421,2018-06-14,21,0.0,110,Vallarta
59,110PP18061422,2018-06-14,22,0.0,110,Vallarta
60,110PP18061423,2018-06-14,23,0.0,110,Vallarta
61,110PP18061500,2018-06-15,0,0.0,110,Vallarta
62,110PP18061501,2018-06-15,1,0.0,110,Vallarta
63,110PP18061502,2018-06-15,2,0.0,110,Vallarta
64,110PP18061503,2018-06-15,3,0.0,110,Vallarta
65,110PP18061504,2018-06-15,4,0.0,110,Vallarta
66,110PP18061505,2018-06-15,5,0.0,110,Vallarta
67,110PP18061506,2018-06-15,6,0.0,110,Vallarta
68,110PP18061507,2018-06-15,7,0.0,110,Vallarta
69,110PP18061508,2018-06-15,8,0.0,110,Vallarta
70,110PP18061509,2018-06-15,9,0.0,110,Vallarta
71,110PP18061510,2018-06-15,10,0.0,110,Vallarta
72,110PP18061511,2018-06-15,11,0.0,110,Vallarta
73,110PP18061512,2018-06-15,12,0.0,110,Vallarta
74,110PP18061513,2018-06-15,13,0.0,110,Vallarta
75,110PP18061514,2018-06-15,14,0.0,110,Vallarta
76,110PP18061515,2018-06-15,15,0.0,110,Vallarta
77,110PP18061516,2018-06-15,16,0.0,110,Vallarta
78,110PP18061517,2018-06-15,17,0.0,110,Vallarta
79,110PP18061518,2018-06-15,18,0.0,110,Vallarta
80,110PP18061519,2018-06-15,19,0.0,110,Vallarta
81,110PP18061520,2018-06-15,20,0.0,110,Vallarta
82,110PP18061521,2018-06-15,21,0.0,110,Vallarta
83,110PP18061522,2018-06-15,22,0.0,110,Vallarta
84,110PP18061523,2018-06-15,23,0.0,110,Vallarta
85,110PP18061600,2018-06-16,0,0.0,110,Vallarta
86,110PP18061601,2018-06-16,1,0.0,110,Vallarta
87,110PP18061602,2018-06-16,2,0.0,110,Vallarta
88,110PP18061603,2018-06-16,3,0.0,110,Vallarta
89,110PP18061604,2018-06-16,4,0.0,110,Vallarta
90,110PP18061605,2018-06-16,5,0.0,110,Vallarta
91,110PP18061606,2018-06-16,6,0.0,110,Vallarta
92,110PP18061607,2018-06-16,7,0.0,110,Vallarta
